NAME_1,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lanao del Norte,75,69,82,127,112,167,154,170,158,179,128,146,254,249,232,275,338,367,493,358,309,338,290,354,372,339,357,411,430,371,341,390,79
Lanao del Sur,0,9,1,2,5,0,2,1,0,1,1,1,2,3,5,0,1,1,1,0,0,2,1,1,5,3,5,13,6,5,9,5,2
Leyte,328,334,384,387,418,498,465,386,480,408,311,346,413,365,522,458,638,623,881,840,803,813,827,739,840,817,786,944,915,749,751,783,180
Marinduque,43,18,18,20,26,34,33,33,26,26,19,17,25,24,31,21,20,50,17,26,17,40,36,38,46,41,67,43,60,54,49,41,7
Masbate,49,29,40,32,31,28,32,46,51,48,33,23,28,30,24,22,38,45,44,41,36,56,63,49,81,58,66,75,85,79,82,65,22
Misamis Occidental,93,84,116,121,150,136,139,118,142,117,67,88,121,142,154,190,225,271,328,308,277,276,310,286,358,320,261,278,320,304,255,300,45
Misamis Oriental,197,181,221,281,282,373,362,281,338,350,318,344,424,399,621,520,789,733,1110,1025,796,958,897,907,1022,910,943,1111,1118,1002,1013,862,207
Mountain Province,8,11,13,27,12,28,24,20,12,12,15,22,33,15,19,45,40,33,39,18,47,34,48,30,72,29,56,132,146,111,95,98,21
Negros Occidental,413,451,633,586,678,811,685,587,552,569,404,462,580,653,751,827,982,906,1394,1115,894,930,1108,1206,1239,1081,1297,1519,1345,1194,1273,990,265
Negros Oriental,197,165,244,230,293,343,323,201,273,294,228,267,288,311,403,399,428,461,697,522,384,471,570,542,591,516,545,649,646,561,600,537,112
North Cotabato,25,32,49,20,54,59,59,38,53,45,71,59,59,70,77,80,98,125,174,154,150,127,183,186,222,177,185,249,232,207,246,215,50
Northern Samar,47,26,30,63,42,53,21,33,29,23,27,39,31,25,45,29,33,25,66,49,51,52,59,67,81,56,78,91,98,66,64,69,16
Nueva Ecija,746,690,869,858,862,997,944,953,1023,966,662,645,789,791,831,862,1058,1173,1423,1423,1387,1612,1567,1641,1607,1531,1571,2048,1816,1520,1461,1410,333
Nueva Vizcaya,174,153,164,195,234,267,297,298,287,237,187,172,146,179,184,227,271,223,348,295,259,395,392,416,428,343,476,651,534,567,443,335,74
